MDY,177.379,28.2036,8868.8
ADK,176.646,51.8781,8847.12
AKA,174.206,52.2203,8578.09
SYA,174.114,52.7122,8570.59
ATU,173.18,52.8283,8467.62
GAM,171.733,63.7667,8384.47
SVA,170.493,63.6864,8246.32
SNP,170.221,57.1672,8166.53
PPG,170.711,14.3317,8160.26
PBV,169.664,56.5772,8100.7
Z08,169.67,14.1844,8045.16
HI36,169.511,14.2292,8027.32
FAQ,169.424,14.2161,8017.65
IWK,168.095,65.6225,7997.09
IKO,168.849,52.9417,7987.33
TNC,167.922,65.5631,7977.36
AK98,167.486,65.6386,7929.72
AK45,167.176,65.4561,7893.73
LSR,167.163,65.3961,7891.82
PHO,166.799,68.3489,7878.31
KPC,166.859,65.2536,7856.83
KTS,166.466,65.3314,7813.97
LUR,166.11,68.875,7806.91
TER,166.339,65.2403,7799.17
SHH,166.089,66.2494,7780.39
AK23,166.877,53.9711,7774.61
3Z1,166.132,64.8317,7772.59
MYU,166.271,60.3714,7751.57
HPB,166.147,61.5239,7746.82
DUT,166.544,53.9,7737.14
CZF,166.039,61.7811,7736.97
OME,165.445,64.5122,7693.76
AWK,166.642,19.28,7690.39
94Z,165.396,64.5131,7688.28
VAK,165.601,61.5408,7686.42
SCM,165.574,61.8444,7685.86
Z47,165.3,64.6797,7679.06
Z81,165.012,64.9092,7649.22
4KA,165.272,60.5756,7642.36
HFS,166.285,23.8641,7640.07
AK49,164.799,65.6792,7632.31
KVL,164.564,67.7361,7624.91
OOK,165.087,60.5414,7621.63
5QC,164.656,65.4058,7614.03
SXP,164.848,62.5206,7610.82
AUK,164.66,62.68,7591.3
AK26,164.442,64.5606,7583
IGT,164.701,60.4711,7578.23
EWU,164.641,60.9392,7575.25
ENM,164.491,62.7861,7573.42
26AK,164.914,54.5825,7560.54
CFK,164.286,60.1492,7529.71
K29,163.703,64.8978,7504.03
IIK,164.031,59.9331,7499.78
MOU,163.682,62.0953,7478.09
PIZ,163.011,69.7322,7471.96
4Z2,163.329,65.9047,7471.46
WMO,163.413,64.6892,7470.02
2A9,163.533,63.0306,7469.23
WTK,162.98,67.5611,7447.9
DGG,162.899,68.0322,7443.32
KSM,163.302,62.0608,7435.68
N93,163.007,64.5506,7423.87
DEE,162.766,66.0694,7410.58
GGV,163.169,59.8764,7403.74
OTZ,162.599,66.8847,7399.38
KFP,163.41,54.8475,7395.28
0AK,162.899,61.9344,7390.03
2AK9,162.464,65.6736,7373.55
